Income,Expenditure,Age,Family_Size
2009.9,1579.6,23,3
2009.9,1579.6,22,3
1070.7,614.9,15,4
2362.6,2679,20,4
3086.8,2509,19,3
1184.6,1028,21,1
3438.2,2408,18,3
2494.1,1421.5,23,4
2494.1,1421.5,20,4
2425.9,910,17,4
3030.2,1053,18,5
2397.8,955.3,17,4
1324.4,601,17,4
1255.6,545,20,4
3107.5,1270.6,18,4
1884.8,325,16,3
2467.2,815,17,4
2467.2,815,16,4
1352.7,1090.9,15,2
1220.4,1058.7,20,2
1220.4,1058.7,16,2
2981.8,1937,21,2
3567.3,2453,22,4
3567.3,2453,22,4
3437.7,2860.9,16,4
2095.3,2004.5,23,2
2879,2033.3,21,4
693.5,511.5,22,2
1743.8,1688.9,15,4
1007.9,880.5,18,3
2215.2,1449.3,20,3
3391.6,2884.2,17,4
1448.4,959.4,18,3
2454.5,1741,16,3
2238.2,1678.3,23,4
2235.6,1676.7,16,7
2233.8,1675.6,16,7
2231.1,1674,18,4
2230.3,1673.5,16,4
2229.4,1673,20,4
2227.6,1671.9,16,4
2225.8,1670.9,21,3
2222.3,1668.8,16,4
2218.8,1666.6,16,3
2216.1,1665,18,2
2215.2,1664.5,21,3
2214.4,1664,18,4
2212.6,1662.9,15,4
2211.7,1662.4,20,5
2209.9,1661.3,20,5
2209.1,1660.8,19,5
2206.4,1659.2,21,3
2205.5,1658.7,18,3
2203.8,1657.6,19,1
2202,1656.6,21,4
2201.1,1656,22,5
2197.6,1653.9,22,3
2196.7,1653.4,20,2
2194,1651.8,23,4
2193.2,1651.3,18,3
2189.6,1649.2,18,3
2185.2,1646.5,22,4
2184.3,1646,21,3
2183.4,1645.5,23,3
2182.6,1644.9,16,4
2181.7,1644.4,18,2
2180.8,1643.9,21,3
2179.9,1643.3,20,4
2179,1642.8,18,4
2178.1,1642.3,21,3
2177.3,1641.8,16,4
2173.7,1639.6,19,3
2164,1633.8,23,3
2163.1,1633.3,23,16
2162.2,1632.7,22,16
2161.4,1632.2,19,16
2160.5,1631.7,21,16
2159.6,1631.2,18,16
2158.7,1630.6,22,16
2157.8,1630.1,16,16
2149.9,1625.3,16,4
2140.2,1619.5,21,10
2139.3,1619,19,10
2138.4,1618.5,18,10
2134,1615.8,18,11
2133.1,1615.3,16,11
2126,1611,18,4
2125.1,1610.5,16,4
2124.2,1610,16,3
2121.6,1608.4,23,3
2120.7,1607.9,21,1
2119.8,1607.3,17,3
2118.9,1606.8,17,3
2116.3,1605.2,19,5
2115.4,1604.7,20,4
2114.5,1604.2,16,4
2113.6,1603.6,22,3
2112.8,1603.1,21,3
2111.9,1602.6,21,1
2110.1,1601.5,17,4
2109.2,1601,15,4
2108.3,1600.5,18,3
2105.7,1598.9,15,3
2103,1597.3,15,3
2102.2,1596.7,15,3
2101.3,1596.2,16,3
2100.4,1595.7,18,2
2099.5,1595.2,22,2
2097.7,1594.1,19,3
2096.9,1593.6,15,3
2096,1593,17,8
2090.7,1589.9,15,3
2088,1588.3,20,5
2087.1,1587.7,18,5
2085.4,1586.7,17,3
2082.7,1585.1,17,6
2081.8,1584.6,15,6
2080.1,1583.5,20,4
2079.2,1583,22,5
2078.3,1582.5,21,5
2076.5,1581.4,15,5
2073.9,1579.8,16,4
2073,1579.3,15,4
2070.4,1577.7,18,4
2069.5,1577.2,15,4
2068.6,1576.6,22,4
2067.7,1576.1,18,4
2062.4,1572.9,22,3
2060.6,1571.9,23,4
2059.8,1571.3,19,4
2058.9,1570.8,16,4
2057.1,1569.7,15,5
2054.5,1568.2,19,5
2051.8,1566.6,19,3
2046.5,1563.4,16,6
2042.1,1560.7,18,4
2040.3,1559.7,22,3
2039.4,1559.2,22,2
2038.6,1558.6,19,2
2037.7,1558.1,17,2
2036.8,1557.6,16,3
2035.9,1557,18,5
2035,1556.5,17,5
2034.1,1556,20,2
2030.6,1553.9,17,3
2027.1,1551.7,23,3
2026.2,1551.2,15,2
2024.4,1550.2,22,3
2020.9,1548,20,4
2020,1547.5,19,4
2019.1,1547,20,3
2018.2,1546.5,21,5
2017.4,1545.9,22,3
2014.7,1544.3,21,3
2013.8,1543.8,19,3
2011.2,1542.2,15,3
2009.4,1541.2,15,4
2007.6,1540.1,16,4
2004.1,1538,19,1
2003.2,1537.4,21,4
2001.5,1536.4,16,3
1999.7,1535.3,22,3
1998.8,1534.8,17,3
1997.9,1534.3,23,3
1996.2,1533.2,23,3
1995.3,1532.7,15,2
1994.4,1532.2,20,2
1993.5,1531.6,22,6
1990.9,1530,18,3
1985.6,1526.9,15,3
1984.7,1526.3,23,7
1983.8,1525.8,20,7
1982.9,1525.3,20,7
1982,1524.7,21,4
1981.1,1524.2,21,4
1980.3,1523.7,20,3
1978.5,1522.6,20,1
1977.6,1522.1,19,4
1976.7,1521.6,18,3
1975.8,1521,15,3
1973.2,1519.4,22,3
1972.3,1518.9,23,6
1971.4,1518.4,22,4
1970.5,1517.9,19,4
1967,1515.7,21,5
1965.2,1514.7,15,7
1963.5,1513.6,21,2
1962.6,1513.1,19,2
1961.7,1512.6,15,4
1959.1,1511,19,5
1958.2,1510.4,23,3
1957.3,1509.9,18,3
1956.4,1509.4,20,3
1955.5,1508.9,19,3
1953.8,1507.8,20,4
1952.9,1507.3,17,4
1952,1506.7,19,3
1951.1,1506.2,17,5
1948.5,1504.6,17,3
1947.6,1504.1,17,3
1946.7,1503.6,18,3
1945.8,1503,21,2
1944.9,1502.5,22,4
1941.4,1500.4,22,4
1940.5,1499.9,19,4
1936.1,1497.2,16,3
1933.4,1495.6,17,4
1930.8,1494,17,3
1929,1493,17,5
1928.1,1492.4,15,5
1924.6,1490.3,21,6
1923.7,1489.8,21,6
1922.8,1489.3,19,3
1916.6,1485.6,17,4
1914.9,1484.5,15,4
1914,1484,22,4
1913.1,1483.4,16,4
1908.7,1480.8,20,4
1907.8,1480.3,16,4
1906.9,1479.7,21,3
1906,1479.2,22,4
1900.7,1476,18,4
1899.9,1475.5,15,4
1899,1475,21,1
1898.1,1474.4,22,3
1897.2,1473.9,21,3
1895.4,1472.9,19,3
1894.6,1472.3,22,1
1889.3,1469.2,21,6
1888.4,1468.6,19,6
1887.5,1468.1,22,1
1886.6,1467.6,23,4
1885.7,1467,20,4
1884.8,1466.5,20,2
1883.1,1465.4,22,4
1882.2,1464.9,18,4
1881.3,1464.4,21,1
1880.4,1463.9,23,3
1879.5,1463.3,22,3
1878.7,1462.8,21,2
1875.1,1460.7,20,3
1874.2,1460.2,21,5
1870.7,1458,19,5
1868.1,1456.4,19,2
1867.2,1455.9,17,2
1863.6,1453.8,20,4
1862.8,1453.3,21,4
1858.3,1450.6,17,4
1856.6,1449.6,23,4
1855.7,1449,19,4
1854.8,1448.5,19,4
1852.2,1446.9,23,3
1851.3,1446.4,20,3
1850.4,1445.9,23,4
1849.5,1445.3,23,5
1848.6,1444.8,21,5
1847.7,1444.3,20,5
1846.9,1443.7,23,4
1846,1443.2,21,4
1843.3,1441.6,19,6
1842.4,1441.1,17,6
1839.8,1439.5,22,4
1838.9,1439,23,4
1831,1434.2,16,4
1828.3,1432.6,17,4
1826.5,1431.6,17,3
1824.8,1430.5,20,3
1823,1429.4,18,3
1822.1,1428.9,21,4
1819.5,1427.3,20,4
1817.7,1426.3,16,4
1815.9,1425.2,22,2
1814.2,1424.1,20,3
1813.3,1423.6,15,2
1812.4,1423.1,22,6
1811.5,1422.6,21,6
1810.6,1422,16,6
1808.9,1421,21,3
1808,1420.4,22,4
1807.1,1419.9,20,5
1805.3,1418.9,17,3
1803.6,1417.8,23,2
1802.7,1417.3,18,3
1801.8,1416.7,23,4
1797.4,1414.1,22,4
1796.5,1413.6,17,5
1795.6,1413,17,5
1794.7,1412.5,20,5
1792.1,1410.9,20,5
1791.2,1410.4,17,4
1789.4,1409.3,17,5
1786.8,1407.7,18,4
1785.9,1407.2,15,2
1785,1406.7,18,3
1782.4,1405.1,21,4
1781.5,1404.6,17,4
1780.6,1404,15,3
1777.1,1401.9,23,4
1776.2,1401.4,20,4
1774.4,1400.3,23,4
1773.5,1399.8,22,4
1772.7,1399.3,18,3
1770.9,1398.2,20,1
1767.4,1396.1,21,3
1766.5,1395.6,23,4
1765.6,1395,22,4
1764.7,1394.5,16,3
1763.8,1394,18,5
1762.1,1392.9,19,4
1761.2,1392.4,19,2
1756.8,1389.7,20,2
1755.9,1389.2,17,4
1755,1388.7,21,4
1754.1,1388.1,18,4
1753.2,1387.6,20,5
1752.3,1387.1,15,5
1748.8,1385,17,4
1747,1383.9,22,3
1746.2,1383.4,23,4
1740.9,1380.2,22,2
1740,1379.7,18,4
1739.1,1379.1,21,4
1738.2,1378.6,16,3
1737.3,1378.1,20,7
1736.4,1377.6,17,7
1735.6,1377,16,7
1734.7,1376.5,20,4
1729.4,1373.3,22,5
1726.7,1371.7,15,4
1723.2,1369.6,20,3
1719.6,1367.5,23,4
1718.8,1367,21,4
1717.9,1366.4,18,4
1717,1365.9,15,5
1714.3,1364.3,16,4
1708.2,1360.6,16,3
1707.3,1360.1,19,4
1706.4,1359.6,22,4
1705.5,1359,15,4
1703.7,1358,16,3
1702.9,1357.4,20,1
1702,1356.9,17,2
1701.1,1356.4,15,4
1698.4,1354.8,19,4
1697.6,1354.3,21,4
1696.7,1353.7,23,2
1694.9,1352.7,19,3
1692.3,1351.1,18,7
1691.4,1350.6,16,7
1687.8,1348.4,23,9
1683.4,1345.8,22,3
1681.7,1344.7,20,4
1679,1343.1,16,4
1677.2,1342.1,17,4
1675.5,1341,16,3
1674.6,1340.5,22,9
1673.7,1340,23,9
1672.8,1339.4,19,9
1665.8,1335.2,23,2
1664.9,1334.7,19,3
1664,1334.1,16,4
1662.2,1333.1,22,3
1661.3,1332.6,17,4
1659.6,1331.5,16,3
1658.7,1331,16,3
1657.8,1330.4,18,4
1649,1325.1,21,4
1648.1,1324.6,16,4
1647.2,1324.1,20,5
1646.3,1323.6,15,5
1644.6,1322.5,21,5
1643.7,1322,15,5
1641,1320.4,21,6
1640.1,1319.8,20,6
1638.4,1318.8,16,4
1636.6,1317.7,22,4
1635.7,1317.2,22,4
1634,1316.1,22,8
1627.8,1312.4,17,3
1626.9,1311.9,23,2
1624.2,1310.3,18,4
1623.4,1309.8,16,4
1620.7,1308.2,15,6
1618.9,1307.1,18,4
1618.1,1306.6,16,7
1613.6,1304,21,6
1612.8,1303.4,18,6
1607.5,1300.3,17,4
1605.7,1299.2,21,5
1604.8,1298.7,21,1
1603.9,1298.1,19,3
1603,1297.6,19,3
1602.2,1297.1,16,3
1600.4,1296,19,4
1599.5,1295.5,16,4
1596.9,1293.9,21,3
1593.3,1291.8,15,3
1592.4,1291.3,22,3
1588.9,1289.1,22,3
1588,1288.6,15,3
1586.3,1287.6,21,4
1585.4,1287,19,4
1584.5,1286.5,15,3
1583.6,1286,20,3
1581.8,1284.9,19,4
1581,1284.4,23,7
1580.1,1283.8,22,7
1577.4,1282.3,21,6
1576.5,1281.7,20,6
1575.7,1281.2,22,2
1574.8,1280.7,23,1
1573,1279.6,23,4
1572.1,1279.1,23,4
1569.5,1277.5,21,4
1567.7,1276.4,22,3
1561.5,1272.7,23,6
1560.6,1272.2,21,4
1555.3,1269,17,3
1552.7,1267.4,22,4
1551.8,1266.9,19,4
1550.9,1266.4,17,4
1550,1265.8,22,4
1549.2,1265.3,16,4
1545.6,1263.2,18,3
1544.7,1262.7,16,4
1543.9,1262.1,15,4
1543,1261.6,17,4
1541.2,1260.6,16,4
1539.4,1259.5,18,4
1538.6,1259,20,4
1537.7,1258.4,23,3
1536.8,1257.9,19,4
1535.9,1257.4,20,4
1534.1,1256.3,21,4
1533.3,1255.8,21,1
1532.4,1255.3,18,3
1528.8,1253.1,19,4
1527.9,1252.6,15,4
1526.2,1251.6,16,4
1520.9,1248.4,19,4
1520,1247.8,19,6
1518.2,1246.8,19,3
1515.6,1245.2,15,5
1512.9,1243.6,19,5
1512,1243.1,17,4
1510.3,1242,16,4
1506.7,1239.9,18,3
1505.9,1239.4,23,1
1505,1238.8,22,2
1501.4,1236.7,16,6
1500.6,1236.2,15,6
1494.4,1232.5,15,4
1493.5,1232,21,2
1491.7,1230.9,15,5
1490.8,1230.4,20,3
1490,1229.8,23,2
1489.1,1229.3,15,3
1488.2,1228.8,16,3
1487.3,1228.3,16,3
1486.4,1227.7,16,3
1485.5,1227.2,16,3
1481.1,1224.5,17,4
1479.4,1223.5,20,4
1478.5,1223,17,4
1475.8,1221.4,16,4
1473.2,1219.8,21,6
1472.3,1219.3,22,3
1471.4,1218.7,15,3
1468.8,1217.1,20,5
1467.9,1216.6,17,5
1466.1,1215.5,16,2
1465.2,1215,15,5
1463.5,1214,19,3
1462.6,1213.4,23,3
1461.7,1212.9,23,1
1459.9,1211.8,20,3
1459,1211.3,23,4
1457.3,1210.3,15,4
1454.6,1208.7,15,4
1451.1,1206.5,23,5
1450.2,1206,19,5
1449.3,1205.5,21,2
1446.7,1203.9,19,5
1445.8,1203.4,17,5
1444,1202.3,15,3
1443.1,1201.8,21,5
1442.3,1201.3,19,5
1441.4,1200.7,21,4
1440.5,1200.2,16,4
1439.6,1199.7,23,4
1438.7,1199.1,21,4
1437.8,1198.6,21,1
1437,1198.1,23,2
1435.2,1197,23,4
1434.3,1196.5,19,4
1433.4,1196,21,3
1429.9,1193.8,18,5
1424.6,1190.7,19,3
1423.7,1190.1,23,3
1417.5,1186.4,22,4
1416.6,1185.9,22,3
1415.8,1185.4,20,3
1412.2,1183.3,16,3
1410.5,1182.2,20,3
1409.6,1181.7,21,3
1408.7,1181.1,20,3
1407.8,1180.6,22,4
1406.9,1180.1,23,4
1406,1179.5,17,4
1402.5,1177.4,21,2
1401.6,1176.9,15,4
1399,1175.3,18,3
1397.2,1174.3,15,9
1395.4,1173.2,22,4
1394.6,1172.7,16,4
1392.8,1171.6,18,6
