CATEGORIA;CLASA;SEX;AGE;AGROUP;EDUC;OCUP;STAP;STAO;ACTP;INCOME
8;2;1;53;4;4;7112;3;2;3;10440.0092307692
9;3;1;29;2;5;5223;1;1;5;0
9;3;2;26;2;7;7536;1;1;2;0
9;3;2;24;1;7;5230;1;1;5;0
7;2;1;39;3;7;3118;3;2;7;0
7;2;2;32;2;7;3313;1;1;6;15744.87
6;2;2;53;4;5;2342;1;1;6;16490.6627272727
8;2;1;38;3;4;7522;1;1;2;11980.732
11;3;2;39;3;5;9629;1;1;2;2554.48
8;2;1;53;4;5;7112;1;1;3;17203.768
7;2;2;50;4;5;3118;1;1;2;34133.92
9;3;2;48;4;5;7318;1;1;2;16232.17
7;2;1;53;4;4;3112;1;1;3;0
4;2;1;55;5;7;2132;1;1;5;21526.8875
1;1;2;55;5;7;1211;1;1;6;26997.12
5;2;2;23;1;7;3339;1;1;5;20579.01
9;3;2;38;3;5;5151;1;1;5;13054.57
9;3;1;51;4;5;5151;1;1;2;11621.23
8;2;2;42;3;5;5142;3;2;5;16366.945
7;2;1;57;5;6;3119;1;1;2;0
9;3;2;53;4;5;7314;1;1;2;0
6;2;1;37;3;7;4110;1;1;6;20109.9766666667
4;2;2;37;3;7;2422;1;1;6;23694.695
7;2;1;54;4;7;3119;1;1;6;0
9;3;2;39;3;5;7532;1;1;2;10072.56
6;2;1;36;3;7;2310;1;1;6;15285.71
6;2;2;36;3;7;2631;1;1;6;24360.3742424242
9;3;2;34;2;5;7531;3;2;2;11112.48
5;2;2;43;3;7;3334;1;1;5;0
5;2;1;21;1;5;3334;1;1;5;12656.4
4;2;1;32;2;7;3355;1;1;6;23274.165
1;1;1;46;4;7;1221;1;1;5;29993.76
9;3;2;41;3;5;5153;1;1;3;0
9;3;2;41;3;5;5153;1;1;3;0
5;2;1;33;2;7;3322;1;1;5;16796.56
7;2;2;34;2;7;3115;1;1;2;0
11;3;1;56;5;6;5414;1;1;5;17541.76
9;3;2;49;4;5;6111;1;1;1;1430
4;2;1;30;2;7;2422;1;1;6;0
9;3;2;29;2;5;5223;1;1;5;0
9;3;2;63;5;3;6130;4;2;1;2799.55963302752
8;2;1;44;3;5;7521;1;1;2;0
8;2;1;41;3;5;7111;1;1;3;0
8;2;1;40;3;5;5120;1;1;2;18450.1825
7;2;2;41;3;7;3213;1;1;5;0
9;3;1;51;4;7;5151;1;1;2;0
4;2;2;51;4;7;2412;1;1;5;28800.6
6;2;2;43;3;7;2330;1;1;6;20411.9082352941
8;2;2;47;4;5;7512;1;1;2;12934.4375
6;2;1;34;2;7;2631;1;1;2;27238.6213636364
6;2;2;29;2;7;2631;1;1;5;26387.1916666667
8;2;1;38;3;4;7231;1;1;4;16569.065
9;3;1;37;3;5;8189;1;1;2;13352.4
6;2;2;36;3;6;2221;1;1;6;18834.53
11;3;2;33;2;4;9629;1;1;2;0
6;2;2;57;5;7;2310;1;1;6;16362.3833333333
6;2;1;38;3;7;2250;1;1;7;0
6;2;2;34;2;7;2651;1;1;2;0
11;3;1;47;4;4;9629;1;1;5;15289.7866666667
6;2;1;44;3;7;2250;1;1;6;0
2;1;2;45;4;7;1324;1;1;2;0
7;2;1;54;4;5;3113;1;1;6;15066.84
8;2;1;27;2;5;5132;1;1;5;16786.68
5;2;1;43;3;5;3322;1;1;5;19364.758
9;3;2;44;3;5;5221;1;1;5;12443.1861363636
4;2;1;44;3;7;2412;1;1;3;0
9;3;1;38;3;5;7214;1;1;2;14549.804
9;3;2;34;2;6;7531;1;1;2;0
11;3;1;57;5;4;5222;1;1;5;0
6;2;1;31;2;7;2262;1;1;6;0
6;2;2;29;2;7;2262;1;1;5;16533.48
4;2;1;55;5;7;2142;1;1;4;28839.7642857143
4;2;2;54;4;7;2142;1;1;2;20153.545
6;2;2;26;2;7;2631;1;1;5;26387.1916666667
9;3;1;50;4;5;5221;1;4;5;12447.9975
7;2;1;31;2;4;3116;1;1;2;0
11;3;1;42;3;3;9312;1;1;3;20328.72
9;3;2;54;4;7;5221;1;1;5;0
11;3;1;29;2;5;9629;1;1;6;0
7;2;2;28;2;7;3333;1;1;3;0
8;2;2;26;2;7;4321;1;1;5;17009.75
8;2;1;32;2;5;7521;1;1;2;0
7;2;2;52;4;5;3116;1;1;2;0
6;2;1;27;2;7;2631;1;1;3;27238.6213636364
6;2;2;26;2;7;2631;1;1;7;26387.1916666667
6;2;1;56;5;7;2636;1;1;5;21076.775
8;2;2;52;4;7;4120;1;1;5;0
4;2;1;49;4;7;2142;1;1;3;29499.154
4;2;2;46;4;7;2269;1;1;6;0
9;3;2;30;2;5;5246;1;1;5;10646.1266666667
7;2;2;36;3;7;3313;1;1;4;12316.385
9;3;2;51;4;5;5223;1;1;5;11468.22
1;1;1;62;5;7;1120;1;1;5;60034.6933333333
5;2;1;31;2;5;3322;1;1;5;14183.7966666667
6;2;2;33;2;7;2631;1;1;6;26387.1916666667
9;3;1;60;5;7;5151;1;1;3;0
6;2;2;59;5;7;2221;1;1;6;20360
9;3;1;68;6;7;6113;3;2;1;0
9;3;1;63;5;7;5151;1;1;3;0
6;2;1;32;2;7;2310;1;1;6;0
6;2;2;33;2;7;2631;1;1;5;26387.1916666667
5;2;1;34;2;7;2611;3;2;6;25549.12
1;1;1;38;3;7;1120;1;1;5;22111.29
7;2;2;34;2;7;3313;1;1;5;15744.87
9;3;1;62;5;2;6130;3;2;1;4665.194
1;1;1;75;7;7;1120;1;1;3;0
6;2;2;44;3;7;2631;1;1;2;24360.3742424242
6;2;2;46;4;7;2631;1;1;6;28170.3266666667
7;2;1;36;3;4;3522;1;1;7;0
9;3;2;39;3;5;7536;1;1;2;0
9;3;2;39;3;5;7316;1;1;2;16215.12
11;3;1;39;3;4;9629;1;1;2;9445.68
6;2;1;37;3;7;2250;1;1;2;0
6;2;2;35;3;7;2211;1;1;6;26045.92
6;2;1;31;2;7;2330;1;1;6;13227.3577777778
6;2;2;31;2;7;4110;1;1;6;17153.24
9;3;1;50;4;4;7214;1;1;2;15846.2464705882
9;3;2;39;3;7;7316;1;1;2;0
8;2;1;41;3;4;7233;1;1;3;9283.405
8;2;1;55;5;5;5165;1;1;5;18509.75
8;2;2;49;4;5;7513;1;1;2;0
6;2;2;29;2;7;2330;1;1;6;15457.847037037
5;2;1;30;2;7;3322;1;1;2;16796.56
4;2;1;47;4;7;2422;1;1;5;16700.52
6;2;2;45;4;7;2631;1;1;7;28170.3266666667
9;3;2;26;2;4;5230;1;1;5;0
8;2;1;32;2;6;7126;1;1;3;0
8;2;2;26;2;7;4321;1;4;5;17009.75
4;2;1;59;5;7;2142;1;4;3;28839.7642857143
6;2;2;57;5;6;2221;1;1;6;20054.28
4;2;1;44;3;7;2422;1;1;6;21967.62
6;2;2;41;3;6;2221;1;1;5;18834.53
11;3;1;21;1;4;9313;1;1;3;10893.07
11;3;2;21;1;5;9329;1;1;5;0
11;3;2;27;2;4;9629;1;1;2;0
9;3;1;45;4;5;8332;1;1;2;18365.705
9;3;2;45;4;4;5221;1;1;5;12946.2028571429
8;2;2;31;2;5;4321;3;2;5;15633.7366666667
8;2;1;51;4;4;5120;1;1;5;0
8;2;2;53;4;4;5120;1;1;5;15827.6614285714
9;3;1;27;2;5;5223;1;1;5;0
9;3;1;24;1;5;5223;1;1;5;4200
9;3;1;24;1;5;5223;1;1;5;4200
1;1;1;44;3;7;1120;1;1;6;22111.29
6;2;2;40;3;5;4110;1;1;6;14335.448
9;3;2;31;2;3;8219;1;1;2;6754.51
7;2;2;20;1;3;4211;1;1;5;12146.88
5;2;2;30;2;7;2611;1;1;6;24853.79
8;2;1;57;5;7;5165;1;1;5;0
6;2;2;49;4;7;2631;1;1;2;28170.3266666667
9;3;1;32;2;7;5151;1;1;5;0
6;2;2;28;2;7;3343;1;1;2;0
8;2;1;42;3;4;7522;1;1;2;11980.732
7;2;2;41;3;7;3213;1;1;5;0
6;2;1;50;4;5;2221;1;1;6;0
9;3;2;49;4;5;5321;1;1;6;11624.60875
8;2;2;25;2;7;7124;1;1;2;0
8;2;2;23;1;7;4224;1;1;5;0
9;3;1;54;4;4;7535;1;1;2;0
9;3;2;52;4;5;7318;1;1;2;16232.17
8;2;1;52;4;5;5165;1;1;6;0
8;2;1;25;2;7;5120;1;1;5;0
9;3;2;30;2;5;5223;1;1;5;0
8;2;1;51;4;4;7126;1;1;3;14139.3755555556
9;3;2;49;4;5;8219;1;1;2;0
1;1;1;27;2;7;1211;1;1;5;29330.46
9;3;1;52;4;5;7131;1;1;5;13450.085
8;2;2;26;2;7;4120;1;1;2;14677.66
8;2;1;49;4;5;7126;1;1;5;18692.3775
4;2;2;50;4;7;2422;1;1;6;19920.9475
8;2;1;39;3;4;7126;1;1;2;16235.4185714286
9;3;2;39;3;4;7535;1;1;2;0
9;3;2;50;4;4;5162;1;1;5;0
7;2;1;30;2;4;3116;1;1;2;0
8;2;1;24;1;4;7124;1;1;6;13206.84
9;3;1;50;4;5;7131;1;1;6;13450.085
9;3;2;46;4;5;5321;1;1;6;11624.60875
9;3;2;20;1;5;8212;1;1;2;0
